setTime,star,content,ckip_result,seg_result
1 個月前,5,供奉清水祖師三峽人的信仰中心建於西元1767年已有250多年歷史每年農曆正月初六為祖師聖誕祖師廟都會以神豬祭拜清水祖師非常熱鬧唷,['供奉(VC) 清水(Nc) 祖師(Na) 三峽人(Nc) 信仰(Na) 中心(Nc) 西元(Nd) 1767年(Neu) 250多(Neu) 歷史(Na) 農曆(Na) 正月(Nd) 初六(Nd) 祖師(Na) 聖誕(Na) 祖師(Na) 祭拜(VC) 清水(Nc) 祖師(Na) 熱鬧(VH)'],供奉 清水 祖師 三峽人 信仰 中心 西元 1767年 250多 歷史 農曆 正月 初六 祖師 聖誕 祖師 祭拜 清水 祖師 熱鬧
1 個月前,5,來拜拜順道走走老街很不錯,['拜拜(VA) 走走(VA) 老街(Nc) 不錯(VH)'],拜拜 走走 老街 不錯
1 個月前,5,,,
1 個月前,4,左後方是三峽老街,['後方(Ncd) 三峽(Nc) 老街(Nc)'],後方 三峽 老街
1 個月前,5,,,
1 個月前,5,香火鼎盛假日人超多,['香火(Na) 鼎盛(VH) 假日人(Nd)'],香火 鼎盛 假日人
1 個月前,5,蠻大的 建築古色古香,['建築(Na) 古色古香(VH)'],建築 古色古香
1 個月前,5,,,
2 個月前,4,,,
2 個月前,5,"廟宇裝飾畫梁雕棟精美絕倫建築本身就是藝術傑作即便是外行入內參觀也能感受到其厲害之處石雕木雕彩繪剪粘處處令人讚歎不愧有東方藝術殿堂的美稱走逛三峽老街時務必來此參拜一訪絕對值得

三峽祖師廟正式名稱為三峽長福巖主祀泉州安溪的清水祖師陪祀太陽星君太陰星君文昌帝君與太歲星君

廟宇初建於清乾隆32年1767年後經代理三峽街長的藝術家李梅樹教授於1947年開始重建修復歷經30多年的努力才成就現在的風采",['廟宇(Na) 裝飾(VC) 精美(VH) 絕倫(VH) 建築(Na) 藝術(Na) 傑作(Na) 外行(VA) 參觀(VC) 感受到(VK) 厲害(VH) 石雕(Na) 木雕(Na) 彩繪(Na) 剪粘(VA) 讚歎(VE) 東方(Ncd) 藝術(Na) 殿堂(Nc) 美稱(Na) 三峽(Nc) 老街(Nc) 參拜(VC) 值得(VH) 三峽(Nc) 祖師廟(Nc) 正式(VH) 名稱(VG) 三峽(Nc) 長福巖(Nc) 主祀(VC) 泉州(Nc) 安溪(Nc) 清水(Nc) 祖師(Na) 陪祀(VC) 太陽星君(Na) 太陰(Na) 星君(Na) 星君(Na) 廟宇(Na) 32年(Nd) 1767年(Neu) 代理(VC) 三峽(Nc) 街長(Na) 藝術家(Na) 教授(Na) 1947年(Neu) 開始(VL) 重建(VC) 修復(VC) 歷經(VJ) 30(Neu) 努力(Nv) 成就(VC) 現在(Nd) 風采(Na)'],廟宇 裝飾 精美 絕倫 建築 藝術 傑作 外行 參觀 感受到 厲害 石雕 木雕 彩繪 剪粘 讚歎 東方 藝術 殿堂 美稱 三峽 老街 參拜 值得 三峽 祖師廟 正式 名稱 三峽 長福巖 主祀 泉州 安溪 清水 祖師 陪祀 太陽星君 太陰 星君 星君 廟宇 32年 1767年 代理 三峽 街長 藝術家 教授 1947年 開始 重建 修復 歷經 30 努力 成就 現在 風采
2 個月前,5,雕刻精細宏偉的寺廟,['雕刻(Na) 精細(VH) 宏偉(VH) 寺廟(Na)'],雕刻 精細 宏偉 寺廟
2 個月前,5,,,
2 個月前,5,整個廟宇就像藝術大殿堂值得來參觀,['廟宇(Na) 藝術(Na) 殿堂(Nc) 值得(VH) 參觀(VC)'],廟宇 藝術 殿堂 值得 參觀
2 個月前,5,除了假日不好停車 其餘的都美,['假日(Nd) 停車(VA) 其餘(Neqa)'],假日 停車 其餘
2 個月前,4,清幽老廟香火鼎盛,['清幽(VH) 老廟(Nc) 香火(Na) 鼎盛(VH)'],清幽 老廟 香火 鼎盛
2 個月前,4,很有歷史的廟宇平日來可以很悠閒地參觀,['歷史(Na) 廟宇(Na) 平日(Nd) 悠閒(VH) 參觀(VC)'],歷史 廟宇 平日 悠閒 參觀
2 個月前,5,,,
2 個月前,5,,,
2 個月前,4,,,
2 個月前,5,,,
2 個月前,5,,,
2 個月前,5,來拜拜,['拜拜(VA)'],拜拜
2 個月前,5,,,
2 個月前,5,香火鼎盛有安太歲服務,['香火(Na) 鼎盛(VH) 安太歲(Na) 服務(VC)'],香火 鼎盛 安太歲 服務
2 個月前,4,,,
2 個月前,5,宗教信仰的,['宗教(Na) 信仰(Na)'],宗教 信仰
2 個月前,5,劃棟雕樑猶琳瑯滿目保留廟的特色,['雕樑(Na) 琳瑯滿目(VH) 保留(VC) 特色(Na)'],雕樑 琳瑯滿目 保留 特色
2 個月前,5,路過夜晚的祖師廟給人不同於白天的感覺,['路過(VCL) 夜晚(Nd) 祖師廟(Nc) 不同於(VJ) 白天(Nd) 感覺(Na)'],路過 夜晚 祖師廟 不同於 白天 感覺
2 個月前,5,古色古香的建築,['古色古香(VH) 建築(Na)'],古色古香 建築
2 個月前,5,"不只是寺廟更是藝術殿堂
內部所有樑柱壁板天篷神明都是藝術品
如果廟前能夠禁止停車就更好
感覺在廟前隨意停放機場並不美觀也欠缺虔誠",['寺廟(Nc) 藝術(Na) 殿堂(Nc) 內部(Ncd) 所有(Neqa) 樑柱(Na) 壁板(Na) 天篷(Na) 神明(Na) 藝術品(Na) 禁止(VE) 停車(VA) 感覺(VK) 隨意(VH) 停放(VC) 機場(Nc) 美觀(VH) 欠缺(VJ) 虔誠(VH)'],寺廟 藝術 殿堂 內部 所有 樑柱 壁板 天篷 神明 藝術品 禁止 停車 感覺 隨意 停放 機場 美觀 欠缺 虔誠
2 個月前,5,三峽祖師爺廟為台灣特色廟宇之一是為三峽地區信仰中心香火鼎盛遠近馳名廟宇建築氣勢非凡廟堂內的石雕木雕創作精細度堪稱一絕令人為之驚艷印象深刻雕刻石柱數量及密度可說是台灣廟宇建築中首屈一指不僅提供香客民眾信仰寄託外更讓每一位民眾在膜拜的過程中體驗了一場藝術饗宴祖師爺廟座落位置也與著名三峽老街相鄰來一趟三峽 可一次滿足心靈知性及人文藝術假日人潮眾多前往若是自行開車建議利用附近停車場 光明停車場三峽國小地下停車場三峽公有三峽農會停車場進行停車優先建議就近停放市場停車場由停車場七號出口步行約五分鐘可達返回時與B1進行繳費離場即可,['三峽(Nc) 祖師爺廟(Nc) 台灣(Nc) 特色(Na) 廟宇(Na) 三峽(Nc) 地區(Nc) 信仰(Na) 中心(Nc) 香火(Na) 鼎盛(VH) 遠近馳名(VH) 廟宇(Na) 建築(Na) 氣勢(Na) 非凡(VH) 廟堂(Nc) 石雕(Na) 木雕(Na) 創作(Na) 精細度(Na) 堪稱(VG) 一絕(Na) 驚艷(VH) 印象(Na) 深刻(VH) 雕刻(Na) 石柱(Na) 數量(Na) 密度(Na) 台灣(Nc) 廟宇(Na) 建築(Na) 首屈一指(VH) 提供(VD) 香客(Na) 民眾(Na) 信仰(Na) 寄託(VC) 民眾(Na) 膜拜(VC) 過程(Na) 體驗(VC) 藝術(Na) 饗宴(Na) 祖師爺廟(Na) 座落(Nv) 位置(Na) 著名(VH) 三峽(Nc) 老街(Nc) 相鄰(VH) 三峽(Nc) 滿足(VHC) 心靈(Na) 知性(Na) 人文(Na) 藝術(Na) 假日(Nd) 人潮(Na) 眾多(VH) 前往(VCL) 開車(VA) 建議(VE) 利用(VC) 附近(Nc) 停車場(Nc) 光明(VH) 停車場(Nc) 三峽(Nc) 國小(Nc) 停車場(Nc) 三峽(Nc) 三峽(Nc) 農會(Nc) 停車場(Nc) 進行(VC) 停車(VA) 建議(VE) 停放(VC) 市場(Nc) 停車場(Nc) 停車場(Nc) 七號(Nc) 出口(Nc) 步行(VA) 分鐘(Nf) 返回(VCL) 進行(VC) 繳費(VA) 離場(VA)'],三峽 祖師爺廟 台灣 特色 廟宇 三峽 地區 信仰 中心 香火 鼎盛 遠近馳名 廟宇 建築 氣勢 非凡 廟堂 石雕 木雕 創作 精細度 堪稱 一絕 驚艷 印象 深刻 雕刻 石柱 數量 密度 台灣 廟宇 建築 首屈一指 提供 香客 民眾 信仰 寄託 民眾 膜拜 過程 體驗 藝術 饗宴 祖師爺廟 座落 位置 著名 三峽 老街 相鄰 三峽 滿足 心靈 知性 人文 藝術 假日 人潮 眾多 前往 開車 建議 利用 附近 停車場 光明 停車場 三峽 國小 停車場 三峽 三峽 農會 停車場 進行 停車 建議 停放 市場 停車場 停車場 七號 出口 步行 分鐘 返回 進行 繳費 離場
2 個月前,4,,,
2 個月前,4,,,
2 個月前,5,,,
2 個月前,4,,,
2 個月前,1,廟會可以搞整天不停歇一直擾民也是厲害,['廟會(Na) 停歇(VH) 擾民(VA) 厲害(VH)'],廟會 停歇 擾民 厲害
2 個月前,5,香火鼎盛的祖師廟裡面的石雕木雕銅雕都刻得非常細緻來拜拜之餘也別忘了觀賞這些老師傅的作品,['香火(Na) 鼎盛(VH) 祖師廟(Na) 裡面(Ncd) 石雕(Na) 木雕(Na) 銅雕(Na) 細緻(VH) 拜拜(VA) 之餘(Ng) 觀賞(VC) 這些(Neqa) 老師傅(Na) 作品(Na)'],香火 鼎盛 祖師廟 裡面 石雕 木雕 銅雕 細緻 拜拜 之餘 觀賞 這些 老師傅 作品
2 個月前,5,,,
2 個月前,5,"三峽祖師廟充滿了歷史的味道是一個擁有百年悠久歷史的寺廟廟裡面的石雕柱都是古代老師傅親手刻出來的這些柱子描繪了古老的神話故事和傳說現在這種技術已經失傳在過去鄰近的三峽老街曾是一個繁榮的港口貿易城市與外界通商如今祖師廟仍然保持著莊嚴的氛圍是許多遊客前來參拜的原因之一祖師廟內的建築風格優美非常適合那些喜歡了解古老文化的人此外每年都有許多遊客前來參拜這也是祖師廟能夠保持其繁榮狀態的原因如果你想體驗古老的文化了解舊時代的生活方式那麼三峽祖師廟是一個不容錯過的地方
有機會的話晚上來少了大量的觀光客點上燈之後更加美麗夜晚的三峽老街也是十分漂亮",['三峽(Nc) 祖師廟(Nc) 充滿(VJ) 歷史(Na) 味道(Na) 擁有(VJ) 悠久(VH) 歷史(Na) 寺廟(Na) 裡面(Ncd) 石雕柱(Na) 古代(Nd) 老師傅(Na) 刻出來(VC) 這些(Neqa) 柱子(Na) 描繪(VC) 古老(VH) 神話(Na) 故事(Na) 傳說(Na) 現在(Nd) 技術(Na) 失傳(VH) 過去(Nd) 鄰近(VJ) 三峽(Nc) 老街(Nc) 繁榮(VHC) 港口(Nc) 貿易(Na) 城市(Na) 外界(Ncd) 通商(VA) 如今(Nd) 祖師廟(Nc) 保持(VJ) 莊嚴(VH) 氛圍(Na) 許多(Neqa) 遊客(Na) 前來(VCL) 參拜(VC) 原因(Na) 祖師廟(Nc) 建築(Na) 風格(Na) 優美(VH) 適合(VH) 那些(Neqa) 喜歡(VK) 了解(VK) 古老(VH) 文化(Na) 許多(Neqa) 遊客(Na) 前來(VCL) 參拜(VC) 祖師廟(Nc) 保持(VJ) 繁榮(VHC) 狀態(Na) 原因(Na) 體驗(VC) 古老(VH) 文化(Na) 了解(VK) 時代(Na) 生活(Na) 方式(Na) 三峽(Nc) 祖師廟(Nc) 錯過(VJ) 地方(Na) 機會(Na) 晚上(Nd) 大量(Neqa) 觀光客(Na) 之後(Ng) 美麗(VH) 夜晚(Nd) 三峽(Nc) 老街(Nc) 漂亮(VH)'],三峽 祖師廟 充滿 歷史 味道 擁有 悠久 歷史 寺廟 裡面 石雕柱 古代 老師傅 刻出來 這些 柱子 描繪 古老 神話 故事 傳說 現在 技術 失傳 過去 鄰近 三峽 老街 繁榮 港口 貿易 城市 外界 通商 如今 祖師廟 保持 莊嚴 氛圍 許多 遊客 前來 參拜 原因 祖師廟 建築 風格 優美 適合 那些 喜歡 了解 古老 文化 許多 遊客 前來 參拜 祖師廟 保持 繁榮 狀態 原因 體驗 古老 文化 了解 時代 生活 方式 三峽 祖師廟 錯過 地方 機會 晚上 大量 觀光客 之後 美麗 夜晚 三峽 老街 漂亮
2 個月前,5,到三峽玩的必遊點,['三峽(Nc) 必遊點(Nc)'],三峽 必遊點
2 個月前,5,好美的雕塑美極,['雕塑(Na)'],雕塑
2 個月前,5,,,
2 個月前,5,看著外面的人潮就已注定這間廟宇的尊爵不凡裡頭的香客就算再平日也有一定規模來來往往的機車跟稀有汽車經過也間接證明依靠在三峽老街附近吃得部分基本上沒問題,['外面(Ncd) 人潮(Na) 注定(VK) 廟宇(Na) 尊爵(Na) 不凡(VH) 裡頭(Ncd) 香客(Na) 平日(Nd) 規模(Na) 來來往往(VA) 機車(Na) 稀有(VH) 汽車(Na) 經過(VCL) 證明(VE) 依靠(VC) 三峽(Nc) 老街(Nc) 附近(Nc) 部分(Neqa) 基本(Na) 問題(Na)'],外面 人潮 注定 廟宇 尊爵 不凡 裡頭 香客 平日 規模 來來往往 機車 稀有 汽車 經過 證明 依靠 三峽 老街 附近 部分 基本 問題
2 個月前,5,,,
2 個月前,5,東方藝術殿堂李梅樹藝術家的作品,['東方(Ncd) 藝術(Na) 殿堂(Nc) 藝術家(Na) 作品(Na)'],東方 藝術 殿堂 藝術家 作品
2 個月前,5,氣氛很好今2023年正月初六人相當少很多,['氣氛(Na) 2023年(Neu) 正月(Nd) 初六(Nd) 很多(Neqa)'],氣氛 2023年 正月 初六 很多
2 個月前,4,,,
2 個月前,4,"精雕細琢古老寺廟建築
莊嚴肅穆香煙繚繞",['精雕細琢(VH) 古老(VH) 寺廟(Na) 建築(Na) 莊嚴(VH) 肅穆(VH) 香煙(Na) 繚繞(VH)'],精雕細琢 古老 寺廟 建築 莊嚴 肅穆 香煙 繚繞
2 個月前,2,"懇請廟方停止殘忍的神豬祭祀活動
相信慈悲的祖師爺也不願意看到動物受虐
可以改用其他文明的方式感謝大恩大德",['懇請(VF) 廟方(Na) 停止(VF) 殘忍(VH) 祭祀(VC) 活動(Na) 相信(VK) 慈悲(VH) 願意(VK) 看到(VE) 動物(Na) 受虐(VH) 改用(VC) 其他(Neqa) 文明(Na) 方式(Na) 感謝(VK) 大恩大德(Na)'],懇請 廟方 停止 殘忍 祭祀 活動 相信 慈悲 願意 看到 動物 受虐 改用 其他 文明 方式 感謝 大恩大德
2 個月前,5,"神明是慈悲的應該不會喜歡人們用殘忍的方式虐待動物

希望大家可以去了解 養神豬的過程 真的是悲慘的一生

台灣已經是進步文明的國家了我們應該拋棄這種 舊思維

全台灣大多數的宮廟都已經 淘汰 神豬競賽

期待 三峽祖師廟的 大人們 也能真正傳達 神明的慈悲

感恩祝眾生 未來更美好

劉小書 敬上",['神明(Na) 慈悲(VH) 喜歡(VK) 人們(Na) 殘忍(VH) 方式(Na) 虐待(VC) 動物(Na) 希望(VK) 了解(VK) 過程(Na) 悲慘(VH) 一生(Na) 台灣(Nc) 進步(VH) 文明(Na) 國家(Na) 拋棄(VC) 思維(Na) 台灣(Nc) 大多數(Neqa) 宮廟(Nc) 淘汰(VC) 競賽(Na) 期待(VK) 三峽(Nc) 祖師廟(Nc) 大人(Na) 傳達(VD) 神明(Na) 慈悲(VH) 感恩(VI) 眾生(Na) 未來(Nd) 美好(VH) 小書(Na)'],神明 慈悲 喜歡 人們 殘忍 方式 虐待 動物 希望 了解 過程 悲慘 一生 台灣 進步 文明 國家 拋棄 思維 台灣 大多數 宮廟 淘汰 競賽 期待 三峽 祖師廟 大人 傳達 神明 慈悲 感恩 眾生 未來 美好 小書
2 個月前,5,,,
2 個月前,1,懇請取消神豬比賽此活動或許有其背景但時代不同了不需要這樣罔顧動物福利也是一種生命教育請廟方擲筊請示祖師爺,['懇請(VF) 取消(VC) 比賽(Na) 活動(Na) 背景(Na) 時代(Na) 不同(VH) 需要(VK) 這樣(VH) 罔顧(VJ) 動物(Na) 福利(Na) 生命(Na) 教育(Na) 廟方(Na) 擲筊(VA) 請示(VC) 祖師爺(Na)'],懇請 取消 比賽 活動 背景 時代 不同 需要 這樣 罔顧 動物 福利 生命 教育 廟方 擲筊 請示 祖師爺
2 個月前,5,石柱與石壁都是精雕細琢堪稱鬼斧神工,['石柱(Na) 石壁(Na) 精雕細琢(VH) 堪稱(VG) 鬼斧神工(Na)'],石柱 石壁 精雕細琢 堪稱 鬼斧神工
2 個月前,5,文物古蹟保存得很好值得細細觀察,['文物(Na) 古蹟(Na) 保存(VC) 值得(VH) 細細(VH) 觀察(VE)'],文物 古蹟 保存 值得 細細 觀察
2 個月前,5,"今天為農曆正月初六
適逢三峽清水祖師聖誕

在每年的正月初六
祖師廟前總會放置神豬慶賀
但中間有點小問題
原因是.....祖師爺是佛教徒不食葷
所以這個黑鍋背了很多年了

為什麼會有神豬比賽
而祖師爺的臉為什麼是黑色的

傳說安溪清水巖是塊福地
適合修道祖師初居清水巖
遇到原先佔據此地的四個山鬼
就是座下張黃蘇李四大部將
四大將來挑戰明言此地為其所佔
並要求祖師爺離開

清水祖師於是便與他們鬥法
四大部將把祖師爺困至山洞中
火燻連續七天七夜
當四大將歡欣鼓舞
以為清水祖師已死
正準備重新佔據清水巖時
卻發現清水祖師平安無恙端坐大殿
只有面部被燻黑
從此四大將心悅誠服
成為清水祖師的護法神

祖師毫髮未傷僅面部被薰黑
這就是祖師爺臉是黑色的由來
而清水祖師的塑像
其面部也必為黑色

四大部將的神像或塑像極少見
目前僅於三峽祖師廟能見看到



神豬的祭祀活動
也不是因為祖師爺的誕辰
清水祖師是佛教徒不吃葷食

原因是早期的福建移民
來到三峽當地經商務農定居後
祖師的誕辰與過年期間相近
由於過年要祭祖祭山瑣事多...
因此藉由祖師爺的誕辰
一併辦理以節省時間

所以請不要以為神豬的祭祀
是祖師爺要的喔
(祖師爺吃素黑鍋背好久...)",['今天(Nd) 農曆(Na) 正月(Nd) 初六(Nd) 三峽(Nc) 清水(Nc) 祖師(Na) 聖誕(Na) 正月(Nd) 初六(Nd) 祖師廟(Na) 放置(VC) 慶賀(VE) 中間(Ncd) 問題(Na) 原因(Na) 佛教徒(Na) 食葷(VC) 黑鍋背(Na) 很多(Neqa) 比賽(Na) 黑色(Na) 傳說(Na) 安溪(Nc) 清水巖(Nc) 福地(Na) 適合(VH) 修道(Na) 祖師(Na) 清水巖(Nc) 遇到(VC) 佔據(VC) 山鬼(Na) 座下(Na) 部將(Na) 挑戰(VC) 明言(VE) 要求(VF) 祖師爺(Na) 離開(VC) 清水(Nc) 祖師(Na) 鬥法(VA) 部將(Na) 祖師爺(Na) 山洞(Na) 火燻(VC) 大將(Na) 歡欣(VH) 鼓舞(VC) 以為(VE) 清水(Nc) 祖師(Na) 準備(VC) 佔據(VC) 清水巖(Nc) 發現(VE) 清水(Nc) 祖師(Na) 平安(VH) 無恙(VJ) 端坐(VA) 大殿(Nc) 面部(Na) 燻黑(VC) 心悅(VI) 成為(VC) 清水(Nc) 祖師(Na) 護法神(Na) 祖師(Na) 毫髮未傷(Na) 面部(Na) 薰黑(VC) 黑色(Na) 由來(Na) 清水(Nc) 祖師(Na) 塑像(Na) 面部(Na) 黑色(Na) 部將(Na) 神像(Na) 塑像(Na) 少見(VH) 目前(Nd) 三峽(Nc) 祖師廟(Nc) 看到(VE) 祭祀(VC) 活動(Na) 祖師爺(Na) 誕辰(Na) 清水(Nc) 祖師(Na) 佛教徒(Na) 葷食(Na) 原因(Na) 早期(Nd) 福建(Nc) 移民(Na) 來到(VCL) 三峽(Nc) 當地(Nc) 經商(VA) 務農(VA) 定居(VCL) 祖師(Na) 誕辰(Na) 過年(VA) 期間(Na) 相近(VH) 過年(VA) 祭祖祭(VA) 瑣事(Na) 祖師爺(Na) 誕辰(Na) 辦理(VC) 節省(VJ) 時間(Na) 以為(VE) 祭祀(VC) 祖師爺(Na) 祖師(Na) 吃素(VA) 黑鍋背(Na)'],今天 農曆 正月 初六 三峽 清水 祖師 聖誕 正月 初六 祖師廟 放置 慶賀 中間 問題 原因 佛教徒 食葷 黑鍋背 很多 比賽 黑色 傳說 安溪 清水巖 福地 適合 修道 祖師 清水巖 遇到 佔據 山鬼 座下 部將 挑戰 明言 要求 祖師爺 離開 清水 祖師 鬥法 部將 祖師爺 山洞 火燻 大將 歡欣 鼓舞 以為 清水 祖師 準備 佔據 清水巖 發現 清水 祖師 平安 無恙 端坐 大殿 面部 燻黑 心悅 成為 清水 祖師 護法神 祖師 毫髮未傷 面部 薰黑 黑色 由來 清水 祖師 塑像 面部 黑色 部將 神像 塑像 少見 目前 三峽 祖師廟 看到 祭祀 活動 祖師爺 誕辰 清水 祖師 佛教徒 葷食 原因 早期 福建 移民 來到 三峽 當地 經商 務農 定居 祖師 誕辰 過年 期間 相近 過年 祭祖祭 瑣事 祖師爺 誕辰 辦理 節省 時間 以為 祭祀 祖師爺 祖師 吃素 黑鍋背
